product_id,drug_substance,actives_by_dose,notes,fa,f,tmax,dose_value,dose_unit,pss_inchikey,pss_inchi,pss_smiles,ps_smiles,ps_num_drugs,parent_drug_id
342,AXITINIB,AXITINIB,,,0.58,3.3,7,MG,RITAVMQDGBJQJZ-FMIVXFBMSA-N,"InChI=1S/C22H18N4OS/c1-23-22(27)18-7-2-3-8-21(18)28-16-10-11-17-19(25-26-20(17)14-16)12-9-15-6-4-5-13-24-15/h2-14H,1H3,(H,23,27)(H,25,26)/b12-9+",CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,1,216
343,RALOXIFENE HYDROCHLORIDE,RALOXIFENE HYDROCHLORIDE,Extensive enterohepatic recycling,0.6,0.02,,60,MG,BKXVVCILCIUCLG-UHFFFAOYSA-N,"InChI=1S/C28H27NO4S.ClH/c30-21-8-4-20(5-9-21)28-26(24-13-10-22(31)18-25(24)34-28)27(32)19-6-11-23(12-7-19)33-17-16-29-14-2-1-3-15-29;/h4-13,18,30-31H,1-3,14-17H2;1H",C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O.Cl,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,1,153
344,BETAINE,BETAINE,,,,0.9,1000,MG PER G,KWIUHFFTVRNATP-UHFFFAOYSA-N,"InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3",C[N+](C)(C)CC(=O)[O-],C[N+](C)(C)CC(=O)[O-],1,217
345,INDACATEROL MALEATE,INDACATEROL,,,,,0.3,MG,IREJFXIHXRZFER-PCBAQXHCSA-N,"InChI=1S/C24H28N2O3.C4H4O4/c1-3-14-9-16-11-18(12-17(16)10-15(14)4-2)25-13-22(28)19-5-7-21(27)24-20(19)6-8-23(29)26-24;5-3(6)1-2-4(7)8/h5-10,18,22,25,27-28H,3-4,11-13H2,1-2H3,(H,26,29);1-2H,(H,5,6)(H,7,8)/b;2-1-/t22-;/m0./s1",CCC1=C(C=C2CC(CC2=C1)NC[C@@H](C3=C4C=CC(=O)NC4=C(C=C3)O)O)CC.C(=C\C(=O)O)\C(=O)O,CCc1cc2c(cc1CC)CC(NC[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2.O=C(O)/C=C\C(=O)O,1,218
346,SILODOSIN,SILODOSIN,Fed Tmax,,0.32,2.5,8,MG,PNCPYILNMDWPEY-QGZVFWFLSA-N,"InChI=1S/C25H32F3N3O4/c1-17(30-8-12-34-21-5-2-3-6-22(21)35-16-25(26,27)28)13-18-14-19-7-10-31(9-4-11-32)23(19)20(15-18)24(29)33/h2-3,5-6,14-15,17,30,32H,4,7-13,16H2,1H3,(H2,29,33)/t17-/m1/s1",C[C@H](CC1=CC2=C(C(=C1)C(=O)N)N(CC2)CCCO)NCCOC3=CC=CC=C3OCC(F)(F)F,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,1,94
347,MERCAPTAMINE HYDROCHLORIDE,CYSTEAMINE,,,,,3.8,MG PER ML,OGMADIBCHLQMIP-UHFFFAOYSA-N,"InChI=1S/C2H7NS.ClH/c3-1-2-4;/h4H,1-3H2;1H",C(CS)N.Cl,Cl.NCCS,1,211
348,TELMISARTAN,TELMISARTAN,Absorption is variable,,0.5,,80,MG,RMMXLENWKUUMAY-UHFFFAOYSA-N,"InChI=1S/C33H30N4O2/c1-4-9-30-35-31-21(2)18-24(32-34-27-12-7-8-13-28(27)36(32)3)19-29(31)37(30)20-22-14-16-23(17-15-22)25-10-5-6-11-26(25)33(38)39/h5-8,10-19H,4,9,20H2,1-3H3,(H,38,39)",CCCC1=NC2=C(N1CC3=CC=C(C=C3)C4=CC=CC=C4C(=O)O)C=C(C=C2C)C5=NC6=CC=CC=C6N5C,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)O)cc1,1,82
349,BORTEZOMIB MANNITOL BORONIC ESTER,BORTEZOMIB,,,,,3.5,MG,QDMRNLRJDHCHLB-DNNBANOASA-N,"InChI=1S/C25H35BN4O8/c1-15(2)10-21(26-37-22(19(33)13-31)23(38-26)20(34)14-32)30-24(35)17(11-16-6-4-3-5-7-16)29-25(36)18-12-27-8-9-28-18/h3-9,12,15,17,19-23,31-34H,10-11,13-14H2,1-2H3,(H,29,36)(H,30,35)/t17-,19+,20+,21-,22+,23+/m0/s1",B1(O[C@@H]([C@H](O1)[C@@H](CO)O)[C@@H](CO)O)[C@H](CC(C)C)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)C3=NC=CN=C3,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B1O[C@H]([C@H](O)CO)[C@@H]([C@H](O)CO)O1,1,172
350,CAPECITABINE,CAPECITABINE,Capecitabine is rapidly and extensively absorbed with >95% of the dose recovered in urine. Fa set to 1. ,1,,,500,MG,GAGWJHPBXLXJQN-UORFTKCHSA-N,"InChI=1S/C15H22FN3O6/c1-3-4-5-6-24-15(23)18-12-9(16)7-19(14(22)17-12)13-11(21)10(20)8(2)25-13/h7-8,10-11,13,20-21H,3-6H2,1-2H3,(H,17,18,22,23)/t8-,10-,11-,13-/m1/s1",CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@H]2[C@@H]([C@@H]([C@H](O2)C)O)O,CCCCCOC(=O)Nc1nc(=O)n([C@@H]2O[C@H](C)[C@@H](O)[C@H]2O)cc1F,1,85
351,INDACATEROL MALEATE,INDACATEROL,,,,,0.3,MG,IREJFXIHXRZFER-PCBAQXHCSA-N,"InChI=1S/C24H28N2O3.C4H4O4/c1-3-14-9-16-11-18(12-17(16)10-15(14)4-2)25-13-22(28)19-5-7-21(27)24-20(19)6-8-23(29)26-24;5-3(6)1-2-4(7)8/h5-10,18,22,25,27-28H,3-4,11-13H2,1-2H3,(H,26,29);1-2H,(H,5,6)(H,7,8)/b;2-1-/t22-;/m0./s1",CCC1=C(C=C2CC(CC2=C1)NC[C@@H](C3=C4C=CC(=O)NC4=C(C=C3)O)O)CC.C(=C\C(=O)O)\C(=O)O,CCc1cc2c(cc1CC)CC(NC[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2.O=C(O)/C=C\C(=O)O,1,218
352,INDACATEROL MALEATE,INDACATEROL,,,,,0.3,MG,IREJFXIHXRZFER-PCBAQXHCSA-N,"InChI=1S/C24H28N2O3.C4H4O4/c1-3-14-9-16-11-18(12-17(16)10-15(14)4-2)25-13-22(28)19-5-7-21(27)24-20(19)6-8-23(29)26-24;5-3(6)1-2-4(7)8/h5-10,18,22,25,27-28H,3-4,11-13H2,1-2H3,(H,26,29);1-2H,(H,5,6)(H,7,8)/b;2-1-/t22-;/m0./s1",CCC1=C(C=C2CC(CC2=C1)NC[C@@H](C3=C4C=CC(=O)NC4=C(C=C3)O)O)CC.C(=C\C(=O)O)\C(=O)O,CCc1cc2c(cc1CC)CC(NC[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2.O=C(O)/C=C\C(=O)O,1,218
353,INDACATEROL MALEATE,INDACATEROL MALEATE,,,,,0.143,MG,IREJFXIHXRZFER-PCBAQXHCSA-N,"InChI=1S/C24H28N2O3.C4H4O4/c1-3-14-9-16-11-18(12-17(16)10-15(14)4-2)25-13-22(28)19-5-7-21(27)24-20(19)6-8-23(29)26-24;5-3(6)1-2-4(7)8/h5-10,18,22,25,27-28H,3-4,11-13H2,1-2H3,(H,26,29);1-2H,(H,5,6)(H,7,8)/b;2-1-/t22-;/m0./s1",CCC1=C(C=C2CC(CC2=C1)NC[C@@H](C3=C4C=CC(=O)NC4=C(C=C3)O)O)CC.C(=C\C(=O)O)\C(=O)O,CCc1cc2c(cc1CC)CC(NC[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2.O=C(O)/C=C\C(=O)O,1,218
353,GLYCOPYRRONIUM BROMIDE, GLYCOPYRRONIUM BROMIDE,,,,,0.063,MG,VPNYRYCIDCJBOM-QQTWVUFVSA-M,"InChI=1S/C19H28NO3.BrH/c1-20(2)13-12-17(14-20)23-18(21)19(22,16-10-6-7-11-16)15-8-4-3-5-9-15;/h3-5,8-9,16-17,22H,6-7,10-14H2,1-2H3;1H/q+1;/p-1/t17-,19-;/m0./s1",C[N+]1(CC[C@@H](C1)OC(=O)[C@@](C2CCCC2)(C3=CC=CC=C3)O)C.[Br-],C[N+]1(C)CC[C@H](OC(=O)[C@](O)(c2ccccc2)C2CCCC2)C1.[Br-],1,198
354,AZACITIDINE,AZACITIDINE,Bioavailability quoted relative to SC rather than IV administration. Studies show that SC administration gives similar exposure to IV administration.,,0.11,1,300,MG,NMUSYJAQQFHJEW-KVTDHHQDSA-N,"InChI=1S/C8H12N4O5/c9-7-10-2-12(8(16)11-7)6-5(15)4(14)3(1-13)17-6/h2-6,13-15H,1H2,(H2,9,11,16)/t3-,4-,5-,6-/m1/s1",C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,1,219
355,INDACATEROL MALEATE,INDACATEROL MALEATE,,,,,0.143,MG,IREJFXIHXRZFER-PCBAQXHCSA-N,"InChI=1S/C24H28N2O3.C4H4O4/c1-3-14-9-16-11-18(12-17(16)10-15(14)4-2)25-13-22(28)19-5-7-21(27)24-20(19)6-8-23(29)26-24;5-3(6)1-2-4(7)8/h5-10,18,22,25,27-28H,3-4,11-13H2,1-2H3,(H,26,29);1-2H,(H,5,6)(H,7,8)/b;2-1-/t22-;/m0./s1",CCC1=C(C=C2CC(CC2=C1)NC[C@@H](C3=C4C=CC(=O)NC4=C(C=C3)O)O)CC.C(=C\C(=O)O)\C(=O)O,CCc1cc2c(cc1CC)CC(NC[C@H](O)c1ccc(O)c3[nH]c(=O)ccc13)C2.O=C(O)/C=C\C(=O)O,1,218
355,GLYCOPYRRONIUM BROMIDE, GLYCOPYRRONIUM BROMIDE,,,,,0.063,MG,VPNYRYCIDCJBOM-QQTWVUFVSA-M,"InChI=1S/C19H28NO3.BrH/c1-20(2)13-12-17(14-20)23-18(21)19(22,16-10-6-7-11-16)15-8-4-3-5-9-15;/h3-5,8-9,16-17,22H,6-7,10-14H2,1-2H3;1H/q+1;/p-1/t17-,19-;/m0./s1",C[N+]1(CC[C@@H](C1)OC(=O)[C@@](C2CCCC2)(C3=CC=CC=C3)O)C.[Br-],C[N+]1(C)CC[C@H](OC(=O)[C@](O)(c2ccccc2)C2CCCC2)C1.[Br-],1,198
356,BORTEZOMIB MANNITOL BORONIC ESTER,BORTEZOMIB,,,,,3.5,MG,QDMRNLRJDHCHLB-DNNBANOASA-N,"InChI=1S/C25H35BN4O8/c1-15(2)10-21(26-37-22(19(33)13-31)23(38-26)20(34)14-32)30-24(35)17(11-16-6-4-3-5-7-16)29-25(36)18-12-27-8-9-28-18/h3-9,12,15,17,19-23,31-34H,10-11,13-14H2,1-2H3,(H,29,36)(H,30,35)/t17-,19+,20+,21-,22+,23+/m0/s1",B1(O[C@@H]([C@H](O1)[C@@H](CO)O)[C@@H](CO)O)[C@H](CC(C)C)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)C3=NC=CN=C3,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B1O[C@H]([C@H](O)CO)[C@@H]([C@H](O)CO)O1,1,172
357,SALMETEROL XINAFOATE,SALMETEROL,,,,,0.014,MG,XTZNCVSCVHTPAI-UHFFFAOYSA-N,"InChI=1S/C25H37NO4.C11H8O3/c27-20-23-18-22(13-14-24(23)28)25(29)19-26-15-7-1-2-8-16-30-17-9-6-12-21-10-4-3-5-11-21;12-10-8-4-2-1-3-7(8)5-6-9(10)11(13)14/h3-5,10-11,13-14,18,25-29H,1-2,6-9,12,15-17,19-20H2;1-6,12H,(H,13,14)",C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O.C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O,O=C(O)c1ccc2ccccc2c1O.OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,1,220
357,FLUTICASONE PROPIONATE, FLUTICASONE PROPIONATE,,,,,0.232,MG,WMWTYOKRWGGJOA-CENSZEJFSA-N,"InChI=1S/C25H31F3O5S/c1-5-20(31)33-25(21(32)34-12-26)13(2)8-15-16-10-18(27)17-9-14(29)6-7-22(17,3)24(16,28)19(30)11-23(15,25)4/h6-7,9,13,15-16,18-19,30H,5,8,10-12H2,1-4H3/t13-,15+,16+,18+,19+,22+,23+,24+,25+/m1/s1",CCC(=O)O[C@@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C)C(=O)SCF,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1,221
358,SALMETEROL XINAFOATE,SALMETEROL,,,,,0.014,MG,XTZNCVSCVHTPAI-UHFFFAOYSA-N,"InChI=1S/C25H37NO4.C11H8O3/c27-20-23-18-22(13-14-24(23)28)25(29)19-26-15-7-1-2-8-16-30-17-9-6-12-21-10-4-3-5-11-21;12-10-8-4-2-1-3-7(8)5-6-9(10)11(13)14/h3-5,10-11,13-14,18,25-29H,1-2,6-9,12,15-17,19-20H2;1-6,12H,(H,13,14)",C1=CC=C(C=C1)CCCCOCCCCCCNCC(C2=CC(=C(C=C2)O)CO)O.C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O,O=C(O)c1ccc2ccccc2c1O.OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,1,220
358,FLUTICASONE PROPIONATE, FLUTICASONE PROPIONATE,,,,,0.232,MG,WMWTYOKRWGGJOA-CENSZEJFSA-N,"InChI=1S/C25H31F3O5S/c1-5-20(31)33-25(21(32)34-12-26)13(2)8-15-16-10-18(27)17-9-14(29)6-7-22(17,3)24(16,28)19(30)11-23(15,25)4/h6-7,9,13,15-16,18-19,30H,5,8,10-12H2,1-4H3/t13-,15+,16+,18+,19+,22+,23+,24+,25+/m1/s1",CCC(=O)O[C@@]1([C@@H](C[C@@H]2[C@@]1(C[C@@H]([C@]3([C@H]2C[C@@H](C4=CC(=O)C=C[C@@]43C)F)F)O)C)C)C(=O)SCF,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,1,221
359,SUNITINIB MALATE,SUNITINIB,,,,9,50,MG,LBWFXVZLPYTWQI-IPOVEDGCSA-N,"InChI=1S/C22H27FN4O2.C4H6O5/c1-5-27(6-2)10-9-24-22(29)20-13(3)19(25-14(20)4)12-17-16-11-15(23)7-8-18(16)26-21(17)28;5-2(4(8)9)1-3(6)7/h7-8,11-12,25H,5-6,9-10H2,1-4H3,(H,24,29)(H,26,28);2,5H,1H2,(H,6,7)(H,8,9)/b17-12-;/t;2-/m.0/s1",CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C.C([C@@H](C(=O)O)O)C(=O)O,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C.O=C(O)C[C@H](O)C(=O)O,1,199
360,AZACITIDINE,AZACITIDINE,,,,,100,MG,NMUSYJAQQFHJEW-KVTDHHQDSA-N,"InChI=1S/C8H12N4O5/c9-7-10-2-12(8(16)11-7)6-5(15)4(14)3(1-13)17-6/h2-6,13-15H,1H2,(H2,9,11,16)/t3-,4-,5-,6-/m1/s1",C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,1,219
361,IRBESARTAN HYDROCHLORIDE,IRBESARTAN,Tmax for a combination product is quoted to be 1.75 hours,,0.7,,300,MG,ZUYFSRQJPNUOQU-UHFFFAOYSA-N,"InChI=1S/C25H28N6O.ClH/c1-2-3-10-22-26-25(15-6-7-16-25)24(32)31(22)17-18-11-13-19(14-12-18)20-8-4-5-9-21(20)23-27-29-30-28-23;/h4-5,8-9,11-14H,2-3,6-7,10,15-17H2,1H3,(H,27,28,29,30);1H",CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5.Cl,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1.Cl,1,96
362,PEMETREXED DITROMETHAMINE,PEMETREXED,,,,,1000,MG,HNJZWVKZQZMXHP-GXKRWWSZSA-N,"InChI=1S/C20H21N5O6.2C4H11NO3/c21-20-24-16-15(18(29)25-20)12(9-22-16)6-3-10-1-4-11(5-2-10)17(28)23-13(19(30)31)7-8-14(26)27;2*5-4(1-6,2-7)3-8/h1-2,4-5,9,13H,3,6-8H2,(H,23,28)(H,26,27)(H,30,31)(H4,21,22,24,25,29);2*6-8H,1-3,5H2/t13-;;/m0../s1",C1=CC(=CC=C1CCC2=CNC3=C2C(=O)N=C(N3)N)C(=O)N[C@@H](CCC(=O)O)C(=O)O.C(C(CO)(CO)N)O.C(C(CO)(CO)N)O,NC(CO)(CO)CO.NC(CO)(CO)CO.Nc1nc(=O)c2c(CCc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)c[nH]c2[nH]1,1,100
363,VERICIGUAT,VERICIGUAT,,,0.93,1,10,MG,QZFHIXARHDBPBY-UHFFFAOYSA-N,"InChI=1S/C19H16F2N8O2/c1-31-19(30)25-14-15(22)26-17(27-16(14)23)13-11-6-10(20)7-24-18(11)29(28-13)8-9-4-2-3-5-12(9)21/h2-7H,8H2,1H3,(H,25,30)(H4,22,23,26,27)",COC(=O)NC1=C(N=C(N=C1N)C2=NN(C3=C2C=C(C=N3)F)CC4=CC=CC=C4F)N,COC(=O)Nc1c(N)nc(-c2nn(Cc3ccccc3F)c3ncc(F)cc23)nc1N,1,222
364,DACOMITINIB MONOHYDRATE,DACOMITINIB,,,0.8,5.5,45,MG,BSPLGGCPNTZPIH-IPZCTEOASA-N,"InChI=1S/C24H25ClFN5O2.H2O/c1-33-22-14-20-17(24(28-15-27-20)29-16-7-8-19(26)18(25)12-16)13-21(22)30-23(32)6-5-11-31-9-3-2-4-10-31;/h5-8,12-15H,2-4,9-11H2,1H3,(H,30,32)(H,27,28,29);1H2/b6-5+;",COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)/C=C/CN4CCCCC4.O,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN1CCCCC1,1,223
365,DECITABINE,DECITABINE,,,,,50,MG,XAUDJQYHKZQPEU-KVQBGUIXSA-N,"InChI=1S/C8H12N4O4/c9-7-10-3-12(8(15)11-7)6-1-4(14)5(2-13)16-6/h3-6,13-14H,1-2H2,(H2,9,11,15)/t4-,5+,6+/m0/s1",C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,Nc1ncn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1,1,224
366,ULIPRISTAL ACETATE,ULIPRISTAL ACETATE,,,,1,5,MG,OOLLAFOLCSJHRE-ZHAKMVSLSA-N,"InChI=1S/C30H37NO4/c1-18(32)30(35-19(2)33)15-14-27-25-12-8-21-16-23(34)11-13-24(21)28(25)26(17-29(27,30)3)20-6-9-22(10-7-20)31(4)5/h6-7,9-10,16,25-27H,8,11-15,17H2,1-5H3/t25-,26+,27-,29-,30-/m0/s1",CC(=O)[C@]1(CC[C@@H]2[C@@]1(C[C@@H](C3=C4CCC(=O)C=C4CC[C@@H]23)C5=CC=C(C=C5)N(C)C)C)OC(=O)C,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,1,225
367,RIBAVIRIN,RIBAVIRIN,,0.9,0.55,1.5,400,MG,IWUCXVSUMQZMFG-AFCXAGJDSA-N,"InChI=1S/C8H12N4O5/c9-6(16)7-10-2-12(11-7)8-5(15)4(14)3(1-13)17-8/h2-5,8,13-15H,1H2,(H2,9,16)/t3-,4-,5-,8-/m1/s1",C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,1,226
368,RIBAVIRIN,RIBAVIRIN,,0.9,0.55,1.5,200,MG,IWUCXVSUMQZMFG-AFCXAGJDSA-N,"InChI=1S/C8H12N4O5/c9-6(16)7-10-2-12(11-7)8-5(15)4(14)3(1-13)17-8/h2-5,8,13-15H,1H2,(H2,9,16)/t3-,4-,5-,8-/m1/s1",C1=NC(=NN1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)C(=O)N,NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,1,226
369,ZOLEDRONIC ACID MONOHYDRATE,ZOLEDRONIC ACID,,,,,4,MG,FUXFIVRTGHOMSO-UHFFFAOYSA-N,"InChI=1S/C5H10N2O7P2.H2O/c8-5(15(9,10)11,16(12,13)14)3-7-2-1-6-4-7;/h1-2,4,8H,3H2,(H2,9,10,11)(H2,12,13,14);1H2",C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O.O,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,1,191
370,ZOLEDRONIC ACID MONOHYDRATE,ZOLEDRONIC ACID,,,,,0.8,MG PER ML,FUXFIVRTGHOMSO-UHFFFAOYSA-N,"InChI=1S/C5H10N2O7P2.H2O/c8-5(15(9,10)11,16(12,13)14)3-7-2-1-6-4-7;/h1-2,4,8H,3H2,(H2,9,10,11)(H2,12,13,14);1H2",C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O.O,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,1,191
371,ZOLEDRONIC ACID MONOHYDRATE,ZOLEDRONIC ACID,,,,,0.8,MG PER ML,FUXFIVRTGHOMSO-UHFFFAOYSA-N,"InChI=1S/C5H10N2O7P2.H2O/c8-5(15(9,10)11,16(12,13)14)3-7-2-1-6-4-7;/h1-2,4,8H,3H2,(H2,9,10,11)(H2,12,13,14);1H2",C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O.O,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,1,191
372,LEFAMULIN ACETATE,LEFAMULIN,,,0.258,,600,MG,WSMXIQXWHPSVDE-QALMONEZSA-N,"InChI=1S/C28H45NO5S.C2H4O2/c1-6-26(4)14-22(34-23(32)15-35-21-8-7-18(29)13-20(21)31)27(5)16(2)9-11-28(17(3)25(26)33)12-10-19(30)24(27)28;1-2(3)4/h6,16-18,20-22,24-25,31,33H,1,7-15,29H2,2-5H3;1H3,(H,3,4)/t16?,17-,18+,20+,21+,22+,24-,25-,26+,27-,28-;/m0./s1",C[C@H]1[C@@H]([C@](C[C@H]([C@]2([C@H]3[C@@]1(CCC2C)CCC3=O)C)OC(=O)CS[C@@H]4CC[C@H](C[C@H]4O)N)(C)C=C)O.CC(=O)O,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2CC[C@@H](N)C[C@H]2O)[C@]2(C)C(C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O.CC(=O)O,1,227
373,LEFAMULIN ACETATE,LEFAMULIN,,,,,10,MG PER ML,WSMXIQXWHPSVDE-QALMONEZSA-N,"InChI=1S/C28H45NO5S.C2H4O2/c1-6-26(4)14-22(34-23(32)15-35-21-8-7-18(29)13-20(21)31)27(5)16(2)9-11-28(17(3)25(26)33)12-10-19(30)24(27)28;1-2(3)4/h6,16-18,20-22,24-25,31,33H,1,7-15,29H2,2-5H3;1H3,(H,3,4)/t16?,17-,18+,20+,21+,22+,24-,25-,26+,27-,28-;/m0./s1",C[C@H]1[C@@H]([C@](C[C@H]([C@]2([C@H]3[C@@]1(CCC2C)CCC3=O)C)OC(=O)CS[C@@H]4CC[C@H](C[C@H]4O)N)(C)C=C)O.CC(=O)O,C=C[C@]1(C)C[C@@H](OC(=O)CS[C@@H]2CC[C@@H](N)C[C@H]2O)[C@]2(C)C(C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O.CC(=O)O,1,227
374,SITAGLIPTIN PHOSPHATE MONOHYDRATE,SITAGLIPTIN,,,0.87,2.5,50,MG,GQPYTJVDPQTBQC-KLQYNRQASA-N,"InChI=1S/C16H15F6N5O.H3O4P.H2O/c17-10-6-12(19)11(18)4-8(10)3-9(23)5-14(28)26-1-2-27-13(7-26)24-25-15(27)16(20,21)22;1-5(2,3)4;/h4,6,9H,1-3,5,7,23H2;(H3,1,2,3,4);1H2/t9-;;/m1../s1",C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)C[C@@H](CC3=CC(=C(C=C3F)F)F)N.O.OP(=O)(O)O,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F.O=P(O)(O)O,1,84
374,METFORMIN HYDROCHLORIDE, METFORMIN HYDROCHLORIDE,,0.75,0.55,2.5,1000,MG,OETHQSJEHLVLGH-UHFFFAOYSA-N,"InChI=1S/C4H11N5.ClH/c1-9(2)4(7)8-3(5)6;/h1-2H3,(H5,5,6,7,8);1H",CN(C)C(=N)N=C(N)N.Cl,CN(C)C(=N)N=C(N)N.Cl,1,77
375,GLASDEGIB MALEATE,GLASDEGIB,,,0.771,1.55,100,MG,VJCVKWFBWAVYOC-UIXXXISESA-N,"InChI=1S/C21H22N6O.C4H4O4/c1-27-11-10-16(24-21(28)23-15-8-6-14(13-22)7-9-15)12-19(27)20-25-17-4-2-3-5-18(17)26-20;5-3(6)1-2-4(7)8/h2-9,16,19H,10-12H2,1H3,(H,25,26)(H2,23,24,28);1-2H,(H,5,6)(H,7,8)/b;2-1-/t16-,19-;/m1./s1",CN1CC[C@H](C[C@@H]1C2=NC3=CC=CC=C3N2)NC(=O)NC4=CC=C(C=C4)C#N.C(=C\C(=O)O)\C(=O)O,CN1CC[C@@H](NC(=O)Nc2ccc(C#N)cc2)C[C@@H]1c1nc2ccccc2[nH]1.O=C(O)/C=C\C(=O)O,1,228
376,IOFLUPANE (123I),IOFLUPANE (123I),,,,,74,MBQ PER ML,HXWLAJVUJSVENX-HFIFKADTSA-N,"InChI=1S/C18H23FINO2/c1-23-18(22)17-15(12-3-5-13(20)6-4-12)11-14-7-8-16(17)21(14)10-2-9-19/h3-6,14-17H,2,7-11H2,1H3/t14-,15+,16+,17-/m0/s1/i20-4",COC(=O)[C@@H]1[C@H]2CC[C@H](N2CCCF)C[C@@H]1C3=CC=C(C=C3)[123I],COC(=O)[C@H]1[C@@H](c2ccc([123I])cc2)C[C@@H]2CC[C@H]1N2CCCF,1,45
